condition,seed_count,metric,mean,std,ci95_low,ci95_high
bp_original_data,3,macro_mse,0.014976388153930506,0.00020085483098852307,0.014477396822979468,0.015475379484881544
bp_original_data,3,foreground_mse,0.0602970823063051,0.0008590040756987557,0.05816302565994153,0.06243113895266867
bp_original_data,3,mean_positive_forgetting,8.342259873946507e-06,5.504949390475168e-06,-5.33389623169514e-06,2.2018415979588156e-05
pc_uniform_original_data,3,macro_mse,0.029020686944325764,0.0007011884246338172,0.027278697749774188,0.03076267613887734
pc_uniform_original_data,3,foreground_mse,0.11778286393844896,0.003795059157596206,0.10835465347038675,0.12721107440651117
pc_uniform_original_data,3,mean_positive_forgetting,7.919784014423689e-05,2.018623075814118e-05,2.904841578976261e-05,0.00012934726449871116
pc_usage_original_data,3,macro_mse,0.02914760758479436,0.0007204770222324863,0.027357698990243446,0.030937516179345276
pc_usage_original_data,3,foreground_mse,0.1184686359821129,0.0037767648013586246,0.10908587488224838,0.1278513970819774
pc_usage_original_data,3,mean_positive_forgetting,8.051153272390366e-05,2.1424362958661787e-05,2.7286169236721055e-05,0.00013373689621108627
bp_no_replay,3,macro_mse,0.025946037222941715,0.0008447456049398509,0.023847403440276752,0.02804467100560668
bp_no_replay,3,foreground_mse,0.11142120758585643,0.004485037601402051,0.10027885730692815,0.1225635578647847
bp_no_replay,3,mean_positive_forgetting,0.009167659779389698,0.0007352626967730082,0.007341018568641935,0.010994300990137462
pc_uniform_no_replay,3,macro_mse,0.039638025065263115,0.0006197164491362586,0.03809843981234767,0.041177610318178556
pc_uniform_no_replay,3,foreground_mse,0.1639900175178174,0.0030750202209244553,0.15635062729160906,0.1716294077440257
pc_uniform_no_replay,3,mean_positive_forgetting,0.009045672680561742,0.0004890914921770333,0.007830603999180648,0.010260741361942835
pc_usage_no_replay,3,macro_mse,0.0397978201508522,0.0005743263491919651,0.03837099925750797,0.04122464104419644
pc_usage_no_replay,3,foreground_mse,0.1644119876224344,0.0027600524578124297,0.15755508384451528,0.1712688914003535
pc_usage_no_replay,3,mean_positive_forgetting,0.009079168985287349,0.0004268201593776315,0.008018803355263003,0.010139534615311694
