dataset,replay_regime,metric,cl_mean,ndl_mean,ndl_over_cl
MNIST,dataset_oracle,macro_mse,0.015077127609401941,0.04733276516199112,3.139375508931482
MNIST,dataset_oracle,mean_positive_forgetting,9.458300191909074e-06,0.00022195514757186174,23.46670575773532
MNIST,dataset_oracle,model_update_steps,1113.0,13674.4,12.28607367475292
MNIST,intrinsic,macro_mse,0.023672002740204333,0.06395278647541999,2.70162128558743
MNIST,intrinsic,mean_positive_forgetting,0.007416342650540172,0.015306644937954843,2.0639074621019535
MNIST,intrinsic,model_update_steps,1113.0,88291.7,79.32767295597483
MNIST,no_replay,macro_mse,0.025876427814364434,0.04944298379123211,1.9107345166006835
MNIST,no_replay,mean_positive_forgetting,0.008974185180850327,0.0018738438328728079,0.20880378497998148
MNIST,no_replay,model_update_steps,1113.0,14668.0,13.178796046720574
SD19 screen,dataset_oracle,macro_mse,0.0038535535956422486,0.007106351976593335,1.8441035787407967
SD19 screen,dataset_oracle,mean_positive_forgetting,9.567203233018517e-05,0.0014544555961037986,15.202515935735045
SD19 screen,dataset_oracle,model_update_steps,72.0,7253.0,100.73611111111111
