condition,class_id,mean_mse
ndl_baseline,1,0.006488987244665623
ndl_baseline,7,0.018088940531015396
ndl_baseline,0,0.06465498233834903
ndl_baseline,2,0.058752112090587616
ndl_baseline,3,0.06134055430690447
ndl_baseline,4,0.05108333627382914
ndl_baseline,5,0.06160952771703402
ndl_baseline,6,0.06969958792130153
ndl_baseline,8,0.059175672630469
ndl_baseline,9,0.039789680391550064
ndl_optimized,1,0.004302670868734519
ndl_optimized,7,0.01200376699368159
ndl_optimized,0,0.02560464230676492
ndl_optimized,2,0.030257261047760647
ndl_optimized,3,0.02806130362053712
ndl_optimized,4,0.02132670022547245
ndl_optimized,5,0.031714048236608505
ndl_optimized,6,0.029679848502079647
ndl_optimized,8,0.031086765850583713
ndl_optimized,9,0.01888628676533699
cl_matched,1,0.0029455152495453754
cl_matched,7,0.008388199533025423
cl_matched,0,0.012743310692409674
cl_matched,2,0.01756114202241103
cl_matched,3,0.014922643390794596
cl_matched,4,0.012839353643357754
cl_matched,5,0.016742035746574402
cl_matched,6,0.01495032012462616
cl_matched,8,0.01879914167026679
cl_matched,9,0.010314712300896645
