replay_regime,metric,ndl_mean,cl_mean,ndl_over_cl
dataset_oracle,macro_mse,0.04733276516199112,0.015077127609401941,3.139375508931482
dataset_oracle,mean_positive_forgetting,0.00022195514757186174,9.458300191909074e-06,23.46670575773532
intrinsic,macro_mse,0.06395278647541999,0.023672002740204333,2.70162128558743
intrinsic,mean_positive_forgetting,0.015306644937954843,0.007416342650540172,2.0639074621019535
no_replay,macro_mse,0.04944298379123211,0.025876427814364434,1.9107345166006835
no_replay,mean_positive_forgetting,0.0018738438328728079,0.008974185180850327,0.20880378497998148
