replay_regime,metric,ndl_value,standard_value,ndl_over_standard
original_data,wall_seconds,172.63025751523674,110.11206539487466,1.5677687717160202
original_data,peak_cuda_allocated_bytes,85431808,76128256,1.1222089206929948
original_data,peak_cuda_reserved_bytes,106954752,79691776,1.3421052631578947
original_data,peak_process_rss_bytes,2299060224,2058768384,1.1167163056648144
original_data,total_update_steps,33753,23450,1.439360341151386
original_data,macro_mse,0.0472361259162426,0.02291189134120941,2.061642367833839
intrinsic_replay,wall_seconds,714.5191403399222,103.86096176598221,6.879573693433196
intrinsic_replay,peak_cuda_allocated_bytes,179112960,77634048,2.3071444116890567
intrinsic_replay,peak_cuda_reserved_bytes,216006656,81788928,2.641025641025641
intrinsic_replay,peak_process_rss_bytes,2499497984,2057547776,1.2147946274468429
intrinsic_replay,total_update_steps,108698,23450,4.635309168443497
intrinsic_replay,macro_mse,0.06414540112018585,0.026118947193026543,2.4558953561999592
no_replay,wall_seconds,158.00511817494407,105.21247501997277,1.5017717066816414
no_replay,peak_cuda_allocated_bytes,78533632,76133376,1.0315269875855761
no_replay,peak_cuda_reserved_bytes,81788928,79691776,1.0263157894736843
no_replay,peak_process_rss_bytes,2078187520,2062221312,1.0077422379000223
no_replay,total_update_steps,34905,23450,1.4884861407249468
no_replay,macro_mse,0.05031265318393707,0.027849098667502403,1.8066169316512848
