condition,label,seed,class_id,learning_order,mse
cl_dataset_oracle,CL + original data,50,5,6,0.01911305822432041
cl_dataset_oracle,CL + original data,50,6,7,0.017354460433125496
cl_dataset_oracle,CL + original data,50,8,8,0.02235441282391548
cl_dataset_oracle,CL + original data,50,9,9,0.012122716754674911
cl_dataset_oracle,CL + original data,51,1,0,0.003754529869183898
cl_dataset_oracle,CL + original data,51,7,1,0.010311783291399479
cl_dataset_oracle,CL + original data,51,0,2,0.014587338082492352
cl_dataset_oracle,CL + original data,51,2,3,0.020307568833231926
cl_dataset_oracle,CL + original data,51,3,4,0.017147034406661987
cl_dataset_oracle,CL + original data,51,4,5,0.015928152948617935
cl_dataset_oracle,CL + original data,51,5,6,0.01941547729074955
cl_dataset_oracle,CL + original data,51,6,7,0.01780298538506031
cl_dataset_oracle,CL + original data,51,8,8,0.021729901432991028
cl_dataset_oracle,CL + original data,51,9,9,0.012137808836996555
cl_intrinsic,CL + intrinsic replay,42,1,0,0.015630556270480156
cl_intrinsic,CL + intrinsic replay,42,7,1,0.014163726009428501
cl_intrinsic,CL + intrinsic replay,42,0,2,0.0341026671230793
cl_intrinsic,CL + intrinsic replay,42,2,3,0.033815547823905945
cl_intrinsic,CL + intrinsic replay,42,3,4,0.027300028130412102
cl_intrinsic,CL + intrinsic replay,42,4,5,0.017969544976949692
cl_intrinsic,CL + intrinsic replay,42,5,6,0.027758225798606873
cl_intrinsic,CL + intrinsic replay,42,6,7,0.02871302329003811
cl_intrinsic,CL + intrinsic replay,42,8,8,0.02513531595468521
cl_intrinsic,CL + intrinsic replay,42,9,9,0.012957748956978321
cl_intrinsic,CL + intrinsic replay,43,1,0,0.0159025639295578
cl_intrinsic,CL + intrinsic replay,43,7,1,0.013314133509993553
cl_intrinsic,CL + intrinsic replay,43,0,2,0.03213880956172943
cl_intrinsic,CL + intrinsic replay,43,2,3,0.03320997953414917
cl_intrinsic,CL + intrinsic replay,43,3,4,0.026160305365920067
cl_intrinsic,CL + intrinsic replay,43,4,5,0.018091334030032158
cl_intrinsic,CL + intrinsic replay,43,5,6,0.026353826746344566
cl_intrinsic,CL + intrinsic replay,43,6,7,0.02732267417013645
cl_intrinsic,CL + intrinsic replay,43,8,8,0.02397858165204525
cl_intrinsic,CL + intrinsic replay,43,9,9,0.012767523527145386
cl_intrinsic,CL + intrinsic replay,44,1,0,0.018646324053406715
cl_intrinsic,CL + intrinsic replay,44,7,1,0.013449670746922493
cl_intrinsic,CL + intrinsic replay,44,0,2,0.032512515783309937
cl_intrinsic,CL + intrinsic replay,44,2,3,0.032897282391786575
cl_intrinsic,CL + intrinsic replay,44,3,4,0.027027655392885208
cl_intrinsic,CL + intrinsic replay,44,4,5,0.01765252836048603
cl_intrinsic,CL + intrinsic replay,44,5,6,0.026479702442884445
cl_intrinsic,CL + intrinsic replay,44,6,7,0.026642609387636185
cl_intrinsic,CL + intrinsic replay,44,8,8,0.02397356554865837
cl_intrinsic,CL + intrinsic replay,44,9,9,0.012652742676436901
cl_intrinsic,CL + intrinsic replay,45,1,0,0.017851008102297783
cl_intrinsic,CL + intrinsic replay,45,7,1,0.013726949691772461
cl_intrinsic,CL + intrinsic replay,45,0,2,0.032438140362501144
cl_intrinsic,CL + intrinsic replay,45,2,3,0.03496050462126732
cl_intrinsic,CL + intrinsic replay,45,3,4,0.027767363935709
cl_intrinsic,CL + intrinsic replay,45,4,5,0.018411103636026382
cl_intrinsic,CL + intrinsic replay,45,5,6,0.027480820193886757
cl_intrinsic,CL + intrinsic replay,45,6,7,0.02815667912364006
cl_intrinsic,CL + intrinsic replay,45,8,8,0.02526424266397953
cl_intrinsic,CL + intrinsic replay,45,9,9,0.012768791057169437
cl_intrinsic,CL + intrinsic replay,46,1,0,0.020157286897301674
cl_intrinsic,CL + intrinsic replay,46,7,1,0.013401814736425877
cl_intrinsic,CL + intrinsic replay,46,0,2,0.03418857604265213
cl_intrinsic,CL + intrinsic replay,46,2,3,0.0347939059138298
cl_intrinsic,CL + intrinsic replay,46,3,4,0.027931181713938713
cl_intrinsic,CL + intrinsic replay,46,4,5,0.017339235171675682
cl_intrinsic,CL + intrinsic replay,46,5,6,0.027538038790225983
cl_intrinsic,CL + intrinsic replay,46,6,7,0.028127113357186317
cl_intrinsic,CL + intrinsic replay,46,8,8,0.02521767094731331
